w1,w2,w3,w4,has_shorts,mean,sd_sample,sd_theoretical,sharpe,var_95,cvar_95,regime,scenario,mean_annualized_simulated
-0.5085119502828017,-0.23727061667330518,-0.8971138176603823,2.6428963846164892,1,0.25920180123738584,0.18843268864688015,0.18843268864688006,1.3755670690615993,-0.05829579171560528,-0.1493549060234384,Shorts OK,Personal ETF,0.0933126484454589
0.8407413180570349,-0.78161533636614,0.040924882181745614,0.8999491361273595,1,0.1421544651770396,0.16652970073274712,0.16652970073274728,0.8536282990454311,-0.12491956824582552,-0.20962701563922118,Shorts OK,Personal ETF,0.05117560746373426
0.7587216623923878,-0.9682345337832343,-0.9825453449591965,2.192058216350043,1,0.25136699557303177,0.1837095844576486,0.18370958445764876,1.3682846015635104,-0.04806250819699325,-0.1473053303995659,Shorts OK,Personal ETF,0.09049211840629143
0.09389543041004633,-0.6029953111893509,-0.8370819007883543,2.346181781567659,1,0.24198738869049366,0.18233912911599884,0.1823391291159989,1.3271281368057228,-0.0536506006546338,-0.15396516126460125,Shorts OK,Personal ETF,0.08711545992857772
0.7716750139557429,-0.26470057764106936,-0.9770443487071141,1.4700699123924406,1,0.2999207547978972,0.22122207201356145,0.22122207201356148,1.3557451662396116,-0.04196828277485885,-0.16511576396819344,Shorts OK,Personal ETF,0.10797147172724299
-0.4091030108515761,0.5110292669669274,-0.9748093664763067,1.8728831103609553,1,0.3231927978466915,0.23912801027515676,0.23912801027515665,1.3515472214016424,-0.05198265915476505,-0.17039044660845318,Shorts OK,Personal ETF,0.11634940722480895
0.1257478496003892,-0.5681282594496249,-0.9016495475625228,2.3440299574117587,1,0.2530704167916608,0.18544675703086616,0.18544675703086622,1.364652695164355,-0.05185838238755059,-0.1488075670910786,Shorts OK,Personal ETF,0.0911053500449979
0.14763797589362238,-0.5626178598408456,-0.8272529642356097,2.242232848182833,1,0.24498152395153447,0.1835511423347954,0.18355114233479544,1.3346771958775974,-0.05920763309008539,-0.15283932985555654,Shorts OK,Personal ETF,0.0881933486225524
-0.8452977115720555,0.9454570481869005,-0.8337160055801063,1.7335566689652613,1,0.32503078093008064,0.25230270287715173,0.2523027028771516,1.288257229207492,-0.07852361514578884,-0.18763116801856988,Shorts OK,Personal ETF,0.11701108113482903
0.19095793797957938,-0.5169078364943649,-0.9917342943143883,2.317684192829174,1,0.2692463781841753,0.19117335580496456,0.1911733558049646,1.408388616972655,-0.045863343544790304,-0.1432383265176311,Shorts OK,Personal ETF,0.0969286961463031
0.49735550316020083,-0.7089783497146005,-0.945288285157871,2.1569111317122704,1,0.25813759029792405,0.18709001853304305,0.18709001853304316,1.3797507334809145,-0.04991741471145789,-0.1464484521464575,Shorts OK,Personal ETF,0.09292953250725265
0.23515049707754287,-0.7892913108885948,-0.880634232259264,2.4347750460703157,1,0.23796280693152463,0.18088513298897843,0.18088513298897857,1.3155465183864725,-0.0590012351594458,-0.15464304576678642,Shorts OK,Personal ETF,0.08566661049534886
0.5012465474232972,-0.663682750163362,-0.0907506616824787,1.2531868644225435,1,0.15761057824292526,0.16850255675762685,0.16850255675762696,0.9353601587757001,-0.11292365109444247,-0.20156181236475246,Shorts OK,Personal ETF,0.056739808167453096
0.04118195693105009,0.5820872615922836,-0.9993634550415613,1.3760942365182276,1,0.3426909610978256,0.2657723660569666,0.26577236605696647,1.2894153225259395,-0.08412032634153152,-0.19543989115824464,Shorts OK,Personal ETF,0.12336874599521722
-0.8876011032046582,0.9131083258600581,-0.9335162064540283,1.9080089837986285,1,0.3338147766157996,0.2528180707662084,0.2528180707662083,1.320375460520353,-0.07425969646337294,-0.1811669294408644,Shorts OK,Personal ETF,0.12017331958168785
0.6132630618943886,-0.705604689641995,-0.03336964163802847,1.1257112693856348,1,0.15060944739753632,0.16765203922346286,0.167652039223463,0.8983454546400683,-0.11883952672206,-0.20541747780947509,Shorts OK,Personal ETF,0.05421940106311307
0.806797959142155,-0.8526786176882393,-0.5921908330819932,1.6380714916280774,1,0.21322874240714326,0.17594559031557713,0.1759455903155773,1.2119015999474316,-0.08177696960468135,-0.16746499203931112,Shorts OK,Personal ETF,0.07676234726657157
-0.8665715505633538,0.5064713774618523,-0.9786667341995559,2.338766907301057,1,0.31158129888444086,0.22293241604658195,0.22293241604658182,1.3976491369444255,-0.04880388839275616,-0.15810995233768527,Shorts OK,Personal ETF,0.11216926759839871
0.8854964921846837,-0.8770746809286312,-0.2823205396359607,1.2738987283799081,1,0.17592657572066792,0.16958433108111476,0.16958433108111495,1.0373987655529304,-0.10879555163122785,-0.18730524907883353,Shorts OK,Personal ETF,0.06333356725944045
0.480009165102522,-0.8800397260066113,-0.8325392798625106,2.2325698407666,1,0.23211227299854645,0.17928256212680518,0.17928256212680535,1.2946728909104679,-0.06502733533596873,-0.1567683289590748,Shorts OK,Personal ETF,0.08356041827947672
-0.2232081937222401,0.7501661932331332,-0.9804376214268444,1.4534796219159514,1,0.3452740077022488,0.2688458127319529,0.26884581273195285,1.2842826309759083,-0.08642544195327559,-0.1977412582921667,Shorts OK,Personal ETF,0.12429864277280957
0.8971225231038218,-0.8143674839797208,0.12459483642418978,0.7926501244517092,1,0.13116743920156912,0.16581012230639397,0.16581012230639416,0.7910701552899768,-0.13307638523149828,-0.21678856860934806,Shorts OK,Personal ETF,0.04722027811256488
0.5113766561207205,-0.775284991335432,-0.79241499971201,2.056323334926722,1,0.2353256006044546,0.1804713435491015,0.18047134354910166,1.3039499566889892,-0.05958107265197281,-0.15603029942835533,Shorts OK,Personal ETF,0.08471721621760366
